INDEX,TCA_RANGE,TCA_RELATIVE_SPEED,HBR_SPACEMAP,HBR_CELESTRAK,PC_SPACEMAP,PC_CELESTRAK,ERROR(RATIO),NORAD_CAT_ID_1,OBJECT_NAME_1,OBJECT_CLASS_1,SHAPE_1,SPAN_1,DIAMETER_1,HEIGHT_1,WIDTH_1,DEPTH_1,NORAD_CAT_ID_2,OBJECT_NAME_2,OBJECT_CLASS_2,SHAPE_2,SPAN_2,DIAMETER_2,HEIGHT_2,WIDTH_2,DEPTH_2
31,0.099,0.002,0.0017576614559902,0.00197996145599,0.0003477134716147,0.0004412,0.7881085032067023,57800,XRISM [+],Unknown,,,,,,,57802,H-2A DEB [-],Unknown,,,,,,
57,0.144,13.194,0.0017576614559902,0.0015117114559906,0.0001643899240425,0.0001216,1.3518908227185438,57180,MONITOR-3 (RS58S) [+],Unknown,,,,,,,57260,STARLINK-5026 [+],Unknown,,,,,,
84,0.173,4.524,0.0017576614559902,0.0019583114559899,0.000113903687084,0.0001414,0.8055423414714084,57885,STARLINK-30279 [+],Unknown,,,,,,,54375,CZ-2D DEB [-],Rocket Mission Related Object,Cone,3.3,3.3,1.0,,
106,0.193,12.712,0.0017576614559902,0.0015679614559905,9.15226496142002e-05,7.283e-05,1.2566613979706194,56410,STARLINK-6281 [+],Unknown,,,,,,,22547,SL-16 DEB [-],Rocket Fragmentation Debris,,,,,,
116,0.202,12.737,0.0017576614559902,0.0015653114559905,8.354975309521628e-05,6.626e-05,1.2609380183401189,57172,UMKA 1 (RS40S) [+],Unknown,,,,,,,57233,STARLINK-5866 [+],Unknown,,,,,,
119,0.207,9.391,0.0017576614559902,0.0018021614559902,7.95627109817374e-05,8.365e-05,0.9511382065957849,56901,STARLINK-6185 [+],Unknown,,,,,,,30971,FENGYUN 1C DEB [-],Payload Fragmentation Debris,,,,,,
128,0.21,13.423,0.0017576614559902,0.0014863614559907,7.730596511334481e-05,5.528e-05,1.3984436525568888,56380,STARLINK-6161 [+],Unknown,,,,,,,24007,PEGASUS DEB [-],Rocket Fragmentation Debris,,,,,,
133,0.217,12.802,0.0017576614559902,0.0015608614559906,7.239940963530548e-05,5.709e-05,1.268162719133044,56935,OBJECT D [+],Unknown,,,,,,,28738,CZ-2D R/B [-],Rocket Body,Cyl + 1 Sail,8.0,3.35,8.0,,
134,0.217,14.34,0.0017576614559902,0.0015424114559906,7.239940963530548e-05,5.575e-05,1.2986441190189324,57705,STARLINK-30342 [+],Unknown,,,,,,,25281,PEGASUS R/B [-],Rocket Body,Cyl + 1 Nozzle,1.34,0.965,1.34,,
140,0.226,0.043,0.0017576614559902,0.00199551145599,6.674841391306338e-05,8.604e-05,0.7757835182829309,56746,OBJECT D [+],Unknown,,,,,,,56748,OBJECT F [+],Unknown,,,,,,
141,0.226,9.594,0.0017576614559902,0.0017920614559902,6.674841391306338e-05,6.939e-05,0.9619313144986796,56917,STARLINK-5971 [+],Unknown,,,,,,,57181,OBJECT R [+],Unknown,,,,,,
160,0.241,14.949,0.0017576614559902,0.0011675614559912,5.869870170967457e-05,2.59e-05,2.2663591393696745,56996,AAC-AIS-SAT2 [+],Unknown,,,,,,,34751,COSMOS 2251 DEB [-],Payload Fragmentation Debris,,,,,,
164,0.245,14.524,0.0017576614559902,0.0023058114559909,5.679780263792783e-05,9.775e-05,0.581051689390566,56793,STARLINK-6052 [+],Unknown,,,,,,,15331,COSMOS 1602 [?],Payload,Irr + 4 Pan,21.5,,5.0,2.4,2.4
187,0.261,11.704,0.0017576614559902,0.0011993114559911,5.004799377402347e-05,2.33e-05,2.147982565408733,57074,STARLINK-5773 [+],Unknown,,,,,,,23606,CERISE [?],Payload,Box + 1 Ant + 2 Pan,6.5,,0.6,0.4,0.4
188,0.261,12.053,0.0017576614559902,0.0016260114559904,5.004799377402347e-05,4.283e-05,1.1685265882330953,57451,STARLINK-30216 [+],Unknown,,,,,,,36159,FENGYUN 1C DEB [-],Payload Fragmentation Debris,,,,,,
206,0.271,15.249,0.0017576614559902,0.0011545614559912,4.642279086649641e-05,2.003e-05,2.317663048751693,57422,OBJECT B [+],Unknown,,,,,,,50535,COSMOS 1408 DEB [-],Payload Fragmentation Debris,,,,,,
217,0.277,14.297,0.0017576614559902,0.0015069614559906,4.443359619507577e-05,3.266e-05,1.3604897793960735,56693,STARLINK-30067 [+],Unknown,,,,,,,25978,CLEMENTINE [-],Payload,Box + 1 Rod,0.7,,0.7,0.4,0.7
226,0.281,14.021,0.0017576614559902,0.0014009614559908,4.317766014573395e-05,2.743e-05,1.5741035415870928,57618,STARLINK-30249 [+],Unknown,,,,,,,52152,CZ-6A R/B [-],Rocket Body,,,2.25,5.5,,
236,0.288,6.55,0.0017576614559902,0.00191136145599,4.1104369585372185e-05,4.861e-05,0.8455949307832172,57144,STARLINK-5150 [+],Unknown,,,,,,,10262,DELTA 1 DEB [-],Rocket Fragmentation Debris,,,,,,
253,0.294,13.182,0.0017576614559902,0.0015188114559906,3.944384893012569e-05,2.945e-05,1.33934970900257,56697,STARLINK-30130 [+],Unknown,,,,,,,54413,CZ-6A DEB [-],Other Debris,,,,,,
258,0.298,10.335,0.0017576614559902,0.0017496614559903,3.839211522110436e-05,3.804e-05,1.0092564464012712,56414,STARLINK-5136 [+],Unknown,,,,,,,37851,DICE-F [-],Payload,Box + 1 Ant,10.0,,0.2,0.1,0.1
264,0.302,13.695,0.0017576614559902,0.0010127114559914,3.738189204081264e-05,1.241e-05,3.012239487575555,57290,STARLINK-30198 [+],Unknown,,,,,,,40038,FLOCK 1C-5 [-],Payload,Box + 2 Pan,0.3,,0.3,0.1,0.1
282,0.316,8.981,0.0017576614559902,0.0018147614559901,3.414309696912893e-05,3.64e-05,0.937997169481564,56726,IRIDIUM 181 [+],Unknown,,,,,,,34011,COSMOS 2251 DEB [-],Payload Fragmentation Debris,,,,,,
291,0.322,15.142,0.0017576614559902,0.0011542614559912,3.288259454081748e-05,1.418e-05,2.318941787081628,57580,OBJECT A [+],Unknown,,,,,,,12987,COSMOS 1328 [?],Payload,Cyl + 1 Ant,13.14,1.35,3.2,,
349,0.35,9.004,0.0017576614559902,0.0018217114559901,2.783201908318669e-05,2.99e-05,0.9308367586350066,57606,STARLINK-30255 [+],Unknown,,,,,,,57325,OBJECT AZ [-],Unknown,,,,,,
361,0.357,10.3,0.0017576614559902,0.0017563614559902,2.6751307157346827e-05,2.671e-05,1.0015465053293455,56756,KONDOR FKA NO.1 [+],Unknown,,,,,,,57682,STARLINK-30297 [+],Unknown,,,,,,
362,0.357,14.737,0.0017576614559902,0.001256961455991,2.6751307157346827e-05,1.368e-05,1.95550490916278,57185,A-SEANSAT-PG 1 [+],Unknown,,,,,,,50363,COSMOS 1408 DEB [-],Payload Fragmentation Debris,,,,,,
371,0.361,0.002,0.0017576614559902,0.00199601145599,2.6161785727855388e-05,3.374e-05,0.775393767867676,57800,XRISM [+],Unknown,,,,,,,57802,H-2A DEB [-],Unknown,,,,,,
447,0.399,14.191,0.0017576614559902,0.0009610114559915,2.141602169882535e-05,6.402e-06,3.345208012937418,56511,STARLINK-5351 [+],Unknown,,,,,,,40038,FLOCK 1C-5 [-],Payload,Box + 2 Pan,0.3,,0.3,0.1,0.1
464,0.405,11.575,0.0017576614559902,0.0016734114559904,2.078619106357396e-05,1.884e-05,1.1033010118669826,57487,NULION [+],Unknown,,,,,,,37929,FENGYUN 1C DEB [-],Payload Fragmentation Debris,,,,,,
484,0.411,10.595,0.0017576614559902,0.0017338614559903,2.0183741400058736e-05,1.964e-05,1.0276854073349664,57202,CSTP 1.1 (STC 1.1) [+],Unknown,,,,,,,57302,STARLINK-30233 [+],Unknown,,,,,,
485,0.412,4.037,0.0017576614559902,0.0019620114559899,2.0085883651436825e-05,2.503e-05,0.8024723792024301,56702,STARLINK-30117 [+],Unknown,,,,,,,45831,FREGAT DEB [-],Rocket Fragmentation Debris,,,,,,
526,0.429,2.966,0.0017576614559902,0.00198126145599,1.8525575633769983e-05,2.354e-05,0.7869828221652498,56919,STARLINK-5966 [+],Unknown,,,,,,,41339,CHUBUSAT-3 [-],Payload,Box,0.6,,0.6,0.5,0.6
561,0.443,4.656,0.0017576614559902,0.0019543114559899,1.7373188171860412e-05,2.148e-05,0.8088076430102612,57627,HEAD-3B [+],Unknown,,,,,,,36047,COSMOS 2251 DEB [-],Payload Fragmentation Debris,,,,,,
570,0.45,5.58,0.0017576614559902,0.00193606145599,1.6836905139467642e-05,2.043e-05,0.8241265364399238,57237,STARLINK-6365 [+],Unknown,,,,,,,39790,IRIDIUM 33 DEB [-],Payload Fragmentation Debris,,,,,,
573,0.451,10.187,0.0017576614559902,0.0017585114559902,1.6762324847764756e-05,1.678e-05,0.9989466536212608,56941,OBJECT K [+],Unknown,,,,,,,34868,IRIDIUM 33 DEB [-],Payload Fragmentation Debris,,,,,,
577,0.453,11.138,0.0017576614559902,0.0017021114559903,1.661464322098953e-05,1.558e-05,1.0664084223998416,57641,STARLINK-30312 [+],Unknown,,,,,,,36258,FENGYUN 1C DEB [-],Payload Fragmentation Debris,,,,,,
581,0.454,12.621,0.0017576614559902,0.0015761114559905,1.6541533212045274e-05,1.33e-05,1.2437243016575394,57170,OBJECT E [+],Unknown,,,,,,,57232,STARLINK-5872 [+],Unknown,,,,,,
638,0.472,8.531,0.0017576614559902,0.0018426114559901,1.530397333089628e-05,1.682e-05,0.90986761777029,56955,BLACKJACK ACES-2 [+],Unknown,,,,,,,57361,STARLINK-6340 [+],Unknown,,,,,,
663,0.482,0.002,0.0017576614559902,0.00199616145599,1.4675553566228276e-05,1.893e-05,0.7752537541589157,57186,CSTP 1.2 (STC 1.2) [+],Unknown,,,,,,,57196,OBJECT AG [+],Unknown,,,,,,
688,0.491,5.125,0.0017576614559902,0.0019484114559899,1.4142490602757297e-05,1.738e-05,0.8137221290424221,57186,CSTP 1.2 (STC 1.2) [+],Unknown,,,,,,,36732,FENGYUN 1C DEB [-],Payload Fragmentation Debris,,,,,,
701,0.495,10.714,0.0017576614559902,0.0012086114559911,1.3914852900304044e-05,6.579e-06,2.115040720520451,57457,STARLINK-30165 [+],Unknown,,,,,,,40029,FLOCK 1C-2 [-],Payload,Box + 2 Pan,0.3,,0.3,0.1,0.1
727,0.505,9.342,0.0017576614559902,0.0018037114559902,1.336923580178508e-05,1.408e-05,0.9495195881949632,56377,STARLINK-6189 [+],Unknown,,,,,,,57208,SITRO-AIS 11 (SHEFFER) [+],Unknown,,,,,,
744,0.509,8.094,0.0017576614559902,0.0018576114559901,1.31599396723878e-05,1.47e-05,0.8952339913188979,56730,IRIDIUM 179 [+],Unknown,,,,,,,38298,CZ-2D DEB [-],Rocket Mission Related Object,,,,,,
768,0.517,13.481,0.0017576614559902,0.0014779114559907,1.2755826850217922e-05,9.018e-06,1.4144851242202174,57416,STARLINK-30224 [+],Unknown,,,,,,,27226,PSLV DEB [-],Rocket Fragmentation Debris,,,,,,
774,0.518,3.138,0.0017576614559902,0.00198086145599,1.270662494212808e-05,1.614e-05,0.7872753991405255,57797,YAOGAN-33 03 [+],Unknown,,,,,,,34473,COSMOS 2251 DEB [-],Payload Fragmentation Debris,,,,,,
800,0.525,9.919,0.0017576614559902,0.0017766614559902,1.2370046224817234e-05,1.264e-05,0.9786428975330091,56956,BLACKJACK ACES-1 [+],Unknown,,,,,,,49030,CZ-2C R/B [-],Rocket Body,Cyl,7.49,3.3,7.5,,
802,0.526,7.043,0.0017576614559902,0.00189796145599,1.232305732503035e-05,1.437e-05,0.8575544415469972,57643,STARLINK-30280 [+],Unknown,,,,,,,36597,CZ-2D R/B [-],Rocket Body,Cyl + 1 Sail,8.0,3.35,8.0,,
845,0.544,0.003,0.0017576614559902,0.0020014614559901,1.1521065111987993e-05,1.494e-05,0.7711556299858093,57190,NANOZOND 1 (RS49S) [+],Unknown,,,,,,,57205,ARCCUBE 1 (RS25S) [+],Unknown,,,,,,
849,0.545,6.044,0.0017576614559902,0.00192431145599,1.147882542120704e-05,1.376e-05,0.8342169637505117,57023,OBJECT V [+],Unknown,,,,,,,54937,CZ-6A DEB [-],Rocket Fragmentation Debris,,,,,,
856,0.546,12.605,0.0017576614559902,0.0015777114559905,1.1436817599173369e-05,9.214e-06,1.2412434989335106,57190,NANOZOND 1 (RS49S) [+],Unknown,,,,,,,57515,STARLINK-30081 [+],Unknown,,,,,,
867,0.55,14.208,0.0017576614559902,0.0013683614559909,1.1271071350356165e-05,6.831e-06,1.6499884863645389,57336,STARLINK-6320 [+],Unknown,,,,,,,26121,CZ-4B DEB [-],Rocket Fragmentation Debris,,,,,,
893,0.561,8.256,0.0017576614559902,0.0018513614559901,1.0833408357434504e-05,1.202e-05,0.9012818932973796,56890,STARLINK-5528 [+],Unknown,,,,,,,57217,KUZGTU 1 (RS47S) [+],Unknown,,,,,,
896,0.562,14.717,0.0017576614559902,0.001275461455991,1.07948901678094e-05,5.684e-06,1.8991713877215688,56744,SNIPE 4 [+],Unknown,,,,,,,52981,MINOTAUR 4 DEB [-],Other Debris,,,,,,
902,0.564,12.953,0.0017576614559902,0.0015418114559906,1.0718467520216917e-05,8.247e-06,1.2996807954670684,57257,STARLINK-5503 [+],Unknown,,,,,,,36050,COSMOS 2251 DEB [-],Payload Fragmentation Debris,,,,,,
916,0.567,10.225,0.0017576614559902,0.0017548114559902,1.060534627477416e-05,1.057e-05,1.0033440184270728,57800,XRISM [+],Unknown,,,,,,,27226,PSLV DEB [-],Rocket Fragmentation Debris,,,,,,
