CATEGORY,INDEX,NORAD_CAT_ID_1,OBJECT_NAME_1,SHAPE_1,OBJECT_CLASS_1,NORAD_CAT_ID_2,OBJECT_NAME_2,SHAPE_2,OBJECT_CLASS_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,DILUTION,RADIUS_1,RADIUS_2,HBR,PC_CELESTRAK,PC_SPACEMAP,ERROR(RATIO)
Celestrak,30,57800,XRISM [+],,Unknown,57802,H-2A DEB [-],Unknown,Unknown,2023-09-30 06:23:49.080,0.099,0.002,0.024,0.001,0.0003,0.0013,0.0004412,0.00018855078266041044,0.0
spacemap,30,57800,XRISM [+],,Unknown,57802,H-2A DEB [-],Unknown,Unknown,2023-09-30 06:23:49.080,0.09944590615046413,0.002,0.024,0.001,0.0003,0.0013,0.0004412,0.00018855078266041044,0.42735898155124763
Celestrak,53,57180,MONITOR-3 (RS58S) [+],,Unknown,57260,STARLINK-5026 [+],Unknown,Unknown,2023-09-28 01:24:41.946,0.144,13.194,0.059,0.001,0.0015,0.0025,0.0001216,0.00033199451020067967,0.0
spacemap,53,57180,MONITOR-3 (RS58S) [+],,Unknown,57260,STARLINK-5026 [+],Unknown,Unknown,2023-09-28 01:24:41.946,0.14410860836200678,13.194,0.059,0.001,0.0015,0.0025,0.0001216,0.00033199451020067967,2.730218011518747
Celestrak,79,57885,STARLINK-30279 [+],,Unknown,54375,CZ-2D DEB [-],Unknown,Unknown,2023-09-24 09:26:44.816,0.173,4.524,0.042,0.001,0.0003,0.0013,0.0001414,6.218031975919374e-05,0.0
spacemap,79,57885,STARLINK-30279 [+],,Unknown,54375,CZ-2D DEB [-],Unknown,Unknown,2023-09-24 09:26:44.816,0.17318565257186863,4.524,0.042,0.001,0.0003,0.0013,0.0001414,6.218031975919374e-05,0.4397476644921764
Celestrak,98,56410,STARLINK-6281 [+],,Unknown,22547,SL-16 DEB [-],Unknown,Unknown,2023-09-28 14:34:44.129,0.193,12.712,0.074,0.001,0.0003,0.0013,7.283e-05,5.014983032382208e-05,0.0
spacemap,98,56410,STARLINK-6281 [+],,Unknown,22547,SL-16 DEB [-],Unknown,Unknown,2023-09-28 14:34:44.129,0.19284447595568704,12.712,0.074,0.001,0.0003,0.0013,7.283e-05,5.014983032382208e-05,0.6885875370564613
Celestrak,108,57172,UMKA 1 (RS40S) [+],,Unknown,57233,STARLINK-5866 [+],Unknown,Unknown,2023-09-28 10:47:13.409,0.202,12.737,0.078,0.001,0.0015,0.0025,6.626e-05,0.00016936617913071463,0.0
spacemap,108,57172,UMKA 1 (RS40S) [+],,Unknown,57233,STARLINK-5866 [+],Unknown,Unknown,2023-09-28 10:47:13.409,0.20178554624192382,12.737,0.078,0.001,0.0015,0.0025,6.626e-05,0.00016936617913071463,2.5560848042667463
Celestrak,111,56901,STARLINK-6185 [+],,Unknown,30971,FENGYUN 1C DEB [-],Unknown,Unknown,2023-09-27 01:00:05.408,0.207,9.391,0.06,0.001,0.0003,0.0013,8.365e-05,4.3408518021584926e-05,0.0
spacemap,111,56901,STARLINK-6185 [+],,Unknown,30971,FENGYUN 1C DEB [-],Unknown,Unknown,2023-09-27 01:00:05.408,0.2072795452529164,9.391,0.06,0.001,0.0003,0.0013,8.365e-05,4.3408518021584926e-05,0.5189302811904952
Celestrak,120,56380,STARLINK-6161 [+],,Unknown,24007,PEGASUS DEB [-],Unknown,Unknown,2023-09-25 09:31:49.033,0.21,13.423,0.09,0.001,0.0003,0.0013,5.528e-05,4.2256216331440713e-05,0.0
spacemap,120,56380,STARLINK-6161 [+],,Unknown,24007,PEGASUS DEB [-],Unknown,Unknown,2023-09-25 09:31:49.033,0.21008689540847938,13.423,0.09,0.001,0.0003,0.0013,5.528e-05,4.2256216331440713e-05,0.764403334505078
Celestrak,125,56935,OBJECT D [+],,Unknown,28738,CZ-2D R/B [-],Unknown,Unknown,2023-09-27 00:27:32.063,0.217,12.802,0.084,0.001,0.0015,0.0025,5.709e-05,0.00014691074582877888,0.0
spacemap,125,56935,OBJECT D [+],,Unknown,28738,CZ-2D R/B [-],Unknown,Unknown,2023-09-27 00:27:32.063,0.21666224943704376,12.802,0.084,0.001,0.0015,0.0025,5.709e-05,0.00014691074582877888,2.5733183714972654
Celestrak,126,57705,STARLINK-30342 [+],,Unknown,25281,PEGASUS R/B [-],Unknown,Unknown,2023-09-28 17:34:41.605,0.217,14.34,0.111,0.001,0.0015,0.0025,5.575e-05,0.00014676185945473093,0.0
